source,original_breed,n_images
stanford,Siberian_husky,192
stanford,Blenheim_spaniel,188
stanford,Ibizan_hound,188
stanford,bloodhound,187
stanford,whippet,187
stanford,Lhasa,186
stanford,Japanese_spaniel,185
stanford,Norwich_terrier,185
stanford,miniature_pinscher,184
stanford,silky_terrier,183
stanford,Bedlington_terrier,182
stanford,Boston_bull,182
stanford,Italian_greyhound,182
stanford,Pembroke,181
stanford,Dandie_Dinmont,180
stanford,Kerry_blue_terrier,179
stanford,malamute,178
stanford,basset,175
stanford,Border_terrier,172
stanford,Norfolk_terrier,172
stanford,Rhodesian_ridgeback,172
stanford,toy_terrier,172
stanford,Labrador_retriever,171
stanford,bluetick,171
stanford,Saint_Bernard,170
stanford,African_hunting_dog,169
stanford,Irish_terrier,169
stanford,Old_English_sheepdog,169
stanford,West_Highland_white_terrier,169
stanford,Greater_Swiss_Mountain_dog,168
stanford,Chesapeake_Bay_retriever,167
stanford,American_Staffordshire_terrier,164
stanford,Yorkshire_terrier,164
stanford,English_setter,161
stanford,Weimaraner,160
stanford,English_springer,159
stanford,French_bulldog,159
stanford,black-and-tan_coonhound,159
stanford,cocker_spaniel,159
stanford,standard_poodle,159
stanford,Scotch_terrier,158
stanford,keeshond,158
stanford,English_foxhound,157
stanford,Shetland_sheepdog,157
stanford,giant_schnauzer,157
stanford,wire-haired_fox_terrier,157
stanford,Great_Dane,156
stanford,bull_mastiff,156
stanford,dingo,156
stanford,soft-coated_wheaten_terrier,156
stanford,Cardigan,155
stanford,Irish_setter,155
stanford,Mexican_hairless,155
stanford,Staffordshire_bullterrier,155
stanford,miniature_poodle,155
stanford,standard_schnauzer,155
stanford,komondor,154
stanford,miniature_schnauzer,154
stanford,schipperke,154
stanford,vizsla,154
stanford,Brabancon_griffon,153
stanford,Gordon_setter,153
stanford,Walker_hound,153
stanford,collie,153
stanford,kelpie,153
stanford,Brittany_spaniel,152
stanford,Chihuahua,152
stanford,German_shepherd,152
stanford,German_short-haired_pointer,152
stanford,Rottweiler,152
stanford,Tibetan_mastiff,152
stanford,briard,152
stanford,flat-coated_retriever,152
stanford,Appenzeller,151
stanford,Sussex_spaniel,151
stanford,borzoi,151
stanford,boxer,151
stanford,curly-coated_retriever,151
stanford,otterhound,151
stanford,toy_poodle,151
stanford,Border_collie,150
stanford,Bouvier_des_Flandres,150
stanford,Doberman,150
stanford,Eskimo_dog,150
stanford,Irish_water_spaniel,150
stanford,Welsh_springer_spaniel,150
stanford,affenpinscher,150
stanford,clumber,150
stanford,dhole,150
stanford,golden_retriever,150
stanford,groenendael,150
stanford,kuvasz,150
stanford,malinois,150
stanford,Pekinese,149
stanford,redbone,148
tsinghua,teddy,7449
tsinghua,golden_retriever,5355
tsinghua,Labrador_retriever,3580
tsinghua,chinese_rural_dog,3336
tsinghua,Bichon_Frise,3083
tsinghua,toy_poodle,2925
tsinghua,Cardigan,2909
tsinghua,Border_collie,2594
tsinghua,miniature_schnauzer,2342
tsinghua,Samoyed,2192
tsinghua,Pomeranian,1936
tsinghua,malamute,1324
tsinghua,Siberian_husky,1160
tsinghua,French_bulldog,1121
tsinghua,Shiba_Dog,1043
tsinghua,papillon,806
tsinghua,pug,798
tsinghua,miniature_pinscher,561
tsinghua,Pekinese,480
tsinghua,Chihuahua,420
tsinghua,Shih_Tzu,361
tsinghua,Yorkshire_terrier,340
tsinghua,chow,329
tsinghua,komondor,318
tsinghua,standard_poodle,316
tsinghua,cocker_spaniel,286
tsinghua,English_springer,276
tsinghua,beagle,276
tsinghua,Shetland_sheepdog,274
tsinghua,Black_sable,258
tsinghua,Old_English_sheepdog,257
tsinghua,Cane_Carso,253
tsinghua,Japanese_Spitzes,253
tsinghua,Japanese_spaniel,249
tsinghua,Maltese_dog,249
tsinghua,Australian_Shepherd,245
tsinghua,basenji,243
tsinghua,basset,241
tsinghua,Italian_greyhound,238
tsinghua,Greater_Swiss_Mountain_dog,237
tsinghua,toy_terrier,237
tsinghua,Weimaraner,235
tsinghua,clumber,235
tsinghua,soft_coated_wheaten_terrier,235
tsinghua,Appenzeller,234
tsinghua,Chinese_Crested_Dog,234
tsinghua,whippet,234
tsinghua,Bouvier_des_Flandres,233
tsinghua,malinois,233
tsinghua,Brittany_spaniel,232
tsinghua,Eskimo_dog,232
tsinghua,giant_schnauzer,232
tsinghua,bull_mastiff,231
tsinghua,silky_terrier,231
tsinghua,Boston_bull,230
tsinghua,Rhodesian_ridgeback,230
tsinghua,briard,230
tsinghua,Kerry_blue_terrier,229
tsinghua,Gordon_setter,228
tsinghua,Irish_wolfhound,228
tsinghua,collie,227
tsinghua,groenendael,227
tsinghua,borzoi,226
tsinghua,wire_haired_fox_terrier,226
tsinghua,Great_Pyrenees,225
tsinghua,black_and_tan_coonhound,225
tsinghua,boxer,225
tsinghua,Rottweiler,224
tsinghua,Scottish_deerhound,224
tsinghua,English_foxhound,223
tsinghua,keeshond,223
tsinghua,kuvasz,223
tsinghua,Afghan_hound,222
tsinghua,EntleBucher,221
tsinghua,Fila Braziliero,220
tsinghua,Mexican_hairless,220
tsinghua,standard_schnauzer,220
tsinghua,Irish_water_spaniel,219
tsinghua,Norwegian_elkhound,217
tsinghua,Sussex_spaniel,217
tsinghua,bluetick,217
tsinghua,dingo,217
tsinghua,otterhound,217
tsinghua,American_Staffordshire_terrier,216
tsinghua,Lakeland_terrier,216
tsinghua,Walker_hound,216
tsinghua,Chesapeake_Bay_retriever,215
tsinghua,Lhasa,215
tsinghua,Newfoundland,215
tsinghua,Bedlington_terrier,214
tsinghua,Leonberg,214
tsinghua,African_hunting_dog,211
tsinghua,Bernese_mountain_dog,211
tsinghua,Dandie_Dinmont,211
tsinghua,German_shepherd,211
tsinghua,German_short_haired_pointer,211
tsinghua,Saint_Bernard,211
tsinghua,Sealyham_terrier,211
tsinghua,cairn,211
tsinghua,Ibizan_hound,210
tsinghua,vizsla,210
tsinghua,Brabancon_griffo,209
tsinghua,Doberman,209
tsinghua,West_Highland_white_terrier,209
tsinghua,dhole,209
tsinghua,kelpie,209
tsinghua,Blenheim_spaniel,207
tsinghua,Irish_setter,207
tsinghua,Irish_terrier,207
tsinghua,bloodhound,207
tsinghua,redbone,207
tsinghua,Border_terrier,206
tsinghua,Great_Dane,206
tsinghua,Saluki,206
tsinghua,Scotch_terrier,206
tsinghua,flat_coated_retriever,206
tsinghua,Pembroke,205
tsinghua,Tibetan_mastiff,205
tsinghua,English_setter,203
tsinghua,Norfolk_terrier,203
tsinghua,Norwich_terrier,203
tsinghua,Staffordshire_bullterrier,203
tsinghua,Tibetan_terrier,203
tsinghua,Australian_terrier,202
tsinghua,Welsh_springer_spaniel,202
tsinghua,curly_coated_retriever,202
tsinghua,schipperke,201
tsinghua,Airedale,200
tsinghua,affenpinscher,200
tsinghua,miniature_poodle,200
