source,original_label,canonical_label,breed_id,action,n_images
tsinghua,Saluki,saluki,100,mvp,206
oxford,samoyed,samoyed,101,mvp,200
stanford,Samoyed,samoyed,101,mvp,218
tsinghua,Samoyed,samoyed,101,mvp,2192
stanford,schipperke,schipperke,102,mvp,154
tsinghua,schipperke,schipperke,102,mvp,201
oxford,scottish_terrier,scotch_terrier,103,mvp,199
stanford,Scotch_terrier,scotch_terrier,103,mvp,158
tsinghua,Scotch_terrier,scotch_terrier,103,mvp,206
stanford,Scottish_deerhound,scottish_deerhound,104,mvp,232
tsinghua,Scottish_deerhound,scottish_deerhound,104,mvp,224
stanford,Sealyham_terrier,sealyham_terrier,105,mvp,202
tsinghua,Sealyham_terrier,sealyham_terrier,105,mvp,211
stanford,Shetland_sheepdog,shetland_sheepdog,106,mvp,157
tsinghua,Shetland_sheepdog,shetland_sheepdog,106,mvp,274
oxford,shiba_inu,shiba_inu,107,mvp,200
tsinghua,Shiba_Dog,shiba_inu,107,mvp,1043
stanford,Shih-Tzu,shih_tzu,108,mvp,214
tsinghua,Shih_Tzu,shih_tzu,108,mvp,361
stanford,Siberian_husky,siberian_husky,109,mvp,192
tsinghua,Siberian_husky,siberian_husky,109,mvp,1160
stanford,silky_terrier,silky_terrier,110,mvp,183
tsinghua,silky_terrier,silky_terrier,110,mvp,231
oxford,wheaten_terrier,soft_coated_wheaten_terrier,111,mvp,200
stanford,soft-coated_wheaten_terrier,soft_coated_wheaten_terrier,111,mvp,156
tsinghua,soft_coated_wheaten_terrier,soft_coated_wheaten_terrier,111,mvp,235
oxford,staffordshire_bull_terrier,staffordshire_bullterrier,112,mvp,191
stanford,Staffordshire_bullterrier,staffordshire_bullterrier,112,mvp,155
tsinghua,Staffordshire_bullterrier,staffordshire_bullterrier,112,mvp,203
stanford,standard_schnauzer,standard_schnauzer,113,mvp,155
tsinghua,standard_schnauzer,standard_schnauzer,113,mvp,220
stanford,Sussex_spaniel,sussex_spaniel,114,mvp,151
tsinghua,Sussex_spaniel,sussex_spaniel,114,mvp,217
stanford,Tibetan_mastiff,tibetan_mastiff,115,mvp,152
tsinghua,Tibetan_mastiff,tibetan_mastiff,115,mvp,205
stanford,Tibetan_terrier,tibetan_terrier,116,mvp,206
tsinghua,Tibetan_terrier,tibetan_terrier,116,mvp,203
stanford,toy_terrier,toy_terrier,117,mvp,172
tsinghua,toy_terrier,toy_terrier,117,mvp,237
stanford,vizsla,vizsla,118,mvp,154
tsinghua,vizsla,vizsla,118,mvp,210
stanford,Walker_hound,walker_hound,119,mvp,153
tsinghua,Walker_hound,walker_hound,119,mvp,216
stanford,Weimaraner,weimaraner,120,mvp,160
tsinghua,Weimaraner,weimaraner,120,mvp,235
stanford,Welsh_springer_spaniel,welsh_springer_spaniel,121,mvp,150
tsinghua,Welsh_springer_spaniel,welsh_springer_spaniel,121,mvp,202
stanford,West_Highland_white_terrier,west_highland_white_terrier,122,mvp,169
tsinghua,West_Highland_white_terrier,west_highland_white_terrier,122,mvp,209
stanford,whippet,whippet,123,mvp,187
tsinghua,whippet,whippet,123,mvp,234
stanford,wire-haired_fox_terrier,wire_haired_fox_terrier,124,mvp,157
tsinghua,wire_haired_fox_terrier,wire_haired_fox_terrier,124,mvp,226
oxford,yorkshire_terrier,yorkshire_terrier,125,mvp,200
stanford,Yorkshire_terrier,yorkshire_terrier,125,mvp,164
tsinghua,Yorkshire_terrier,yorkshire_terrier,125,mvp,340
stanford,African_hunting_dog,__NOT_DOG__,,not_dog,169
stanford,dhole,__NOT_DOG__,,not_dog,150
stanford,dingo,__NOT_DOG__,,not_dog,156
tsinghua,African_hunting_dog,__NOT_DOG__,,not_dog,211
tsinghua,dhole,__NOT_DOG__,,not_dog,209
tsinghua,dingo,__NOT_DOG__,,not_dog,217
